Math_Score, Reading_Score, Writing_Score, Placement_Score, Club_Join_Date
76,87,64,98,2021
69,91,75,75,2021
75,80,67,95,2019
72,82,68,77,2021
62,87,69,78,2018
77,87,72,86,2021
61,87,70,77,2021
73,76,63,98,2019
60,92,80,93,2020
69,80,73,95,2021
73,84,78,86,2019
67,76,74,80,2018
65,89,69,94,2021
72,79,80,100,2020
68,84,80,87,2021
61,78,73,87,2019
65,94,71,92,2018
62,87,70,86,2021
70,83,68,94,2020
62,82,61,89,2021
72,94,77,91,2018
66,88,66,78,2018
68,86,70,89,2018
60,81,76,93,2019
69,75,66,78,2019
63,79,60,83,2021
62,88,70,76,2019
66,83,68,77,2018
73,81,77,95,2021
75,95,80,90,2018
70,95,75,88,2019
70,91,76,75,2021
69,81,62,84,2021
78,83,67,91,2019
64,95,77,79,2020
69,81,64,90,2020
72,85,74,96,2019
60,79,63,88,2020
76,90,60,90,2019
76,85,66,82,2019
65,91,74,98,2019
77,82,77,91,2021
72,88,72,88,2019
77,84,79,77,2021
75,81,69,98,2020
60,91,60,77,2021
65,87,71,78,2018
65,81,60,83,2019
69,95,63,77,2021
68,95,68,85,2018
71,83,63,98,2018
70,85,69,92,2020
77,82,67,92,2020
67,80,69,95,2018
61,81,73,100,2019
70,90,79,88,2018
77,77,70,89,2018
79,82,74,90,2018
71,85,77,78,2018
69,87,62,87,2021
75,93,70,91,2020
63,82,76,80,2021
66,90,78,95,2018
65,78,72,89,2020
71,76,71,77,2019
75,89,69,83,2021
60,87,70,100,2018
72,81,69,85,2021
67,94,77,91,2021
65,78,72,100,2021
60,94,74,99,2020
68,84,79,81,2021
65,75,76,78,2018
65,77,79,100,2020
62,77,78,82,2021
63,86,68,75,2019
71,88,79,83,2019
70,86,68,87,2018
61,80,68,80,2021
65,94,67,92,2020
65,86,63,97,2020
79,94,64,99,2018
60,81,70,92,2018
63,78,61,78,2018
62,76,72,89,2018
73,91,60,88,2019
67,93,67,77,2020
69,78,60,82,2020
66,81,80,78,2020
63,79,69,81,2020
66,76,71,83,2019
63,94,67,82,2021
65,91,69,75,2020
79,76,80,94,2020
76,83,63,85,2021
70,84,69,79,2019
72,93,61,82,2020
65,95,66,87,2020
71,75,79,87,2018
65,76,80,78,2018
